# Format: name;type;level;speed;HP;Moves1,...;

# Magma Starter
Blazehoof;magma;1;50;100;HoofSpark,FlameCharge,Stomp,Cut;
Infernocolt;magma;2;70;110;MagmaSmash,Pyroquake,Bite,SereneStrike;
Magmamane;magma;3;90;120;FlareFlicker,SootStrike,EmberSpin,ScorchingSwipe;

# Aqua Starter
Tidefin;aqua;1;50;100;Splash,Rippleclaw,Stomp,TidalFang;
Riptalon;aqua;2;70;110;HydroHose,AquaVortex,Cut,Tsunami;
Hyrdazor;aqua;3;90;120;GlacialDive,Flood,SereneStrike,WaterGeyser;

# Flora Starter
Stemlet;flora;1;50;100;RootSlap,VineLash,VerdantAbsorption,BuddingBlast;
Herbivine;flora;2;70;110;ThornSlash,PetalPrison,Whisperwind,MoonlitBloom;
Vinebeast;flora;3;90;120;Lunarbeam,RootRumble,SereneStrike,BrambleStrike;

# Magma (Fire)
Cindercoon;magma;1;50;99;FlameCharge,HoofSpark,Stomp,EmberSpin;
Pyrcoonito;magma;2;69;109;SootStrike,ScorchingSwipe,Bite,MagmaSmash;

Lavalimp;magma;1;48;98;FlareFlicker,CharredClaw,HoofSpark,Cut;
Moltorch;magma;2;68;108;SootStrike,InfernoBurst,Stomp,LavaJet;
Volkraken;magma;3;88;118;MagmaSmash,Pyroquake,ScorchingSwipe,Bite;

Ashvyrm;magma;1;52;102;EmberSpin,SootStrike,Cut,FlameCharge;
Scorchwyrm;magma;2;72;112;FlareFlicker,MagmaSmash,Bite,LavaJet;

Emberscale;magma;1;45;97;ScorchingSwipe,FlameCharge,Stomp,SootStrike;
Flarefang;magma;2;65;107;MagmaSmash,InfernoBurst,Bite,EmberSpin;
Infernasaur;magma;3;85;117;ScorchingSwipe,LavaJet,CharredClaw,HoofSpark;

Charmeleap;magma;1;54;104;EmberSpin,HoofSpark,Cut,FlareFlicker;
Cindelurk;magma;2;74;114;FlameCharge,SootStrike,Bite,ScorchingSwipe;

Ignotusk;magma;1;48;99;HoofSpark,FlareFlicker,Cut,EmberSpin;
Smelboar;magma;2;68;109;MagmaSmash,SootStrike,Bite,ScorchingSwipe;

Pyroswoop;magma;1;53;101;FlameCharge,LavaJet,Stomp,SootStrike;
Flamereign;magma;2;73;111;InfernoBurst,ScorchingSwipe,Bite,FlareFlicker;

Furnix;magma;1;55;103;HoofSpark,FlareFlicker,Stomp,MagmaSmash;
